Subject,WA_AVG,BVT_AVG,BVC_AVG,BVC_SD,BVT_SD,WA_SD,BVC_NORM,BVC_SD_NORM,BVT_NORM,WA_NORM,RTQ_AVG,RTQ_SD,RTQ_NORM,RTQ_SD_NORM,BR_AVG,WL_AVG,WL_SD,BR_SD,BR_NORM,BR_SD_NORM,WA_SD_NORM,WL_NORM,WL_SD_NORM,Treatment,M_Stress,
T064,14840.683669452124,69.58567508392343,258.49446950745926,86.83154332972477,9.175236900198996,6069.063496413926,0.6762275768293632,0.6557388091170688,0.7551226846244773,0.6045700413513625,0.8961744003197324,0.2389142954391903,1.0195453443049427,1.7511440866605767,17.27989611253544,92.95543175487465,28.36312910794483,4.103473012320343,1.114750056885545,1.124143649028383,0.6767750768419811,0.913566897,0.884374203,DT,2,11
T065,48449.46582,144.20667120068262,571.4429242318524,385.7494293151054,52.706632730682635,31183.558149292094,1.2432863354553207,3.880235713089701,1.0581989133887275,1.1630347250430209,0.7594466044085066,0.2035626133831013,1.0309298047890654,1.887412664550007,17.431330728302846,101.67397260273972,56.76779598325404,5.764487117,0.9800799661013112,2.3392674178143436,3.292134149046696,1.1896330647746458,4.298071111409585,DT,2,12
T068,43761.342363440825,101.99563313509857,466.7744261162264,316.4948053475752,34.39751710273982,34306.77352121244,0.7039843626080615,0.7677358119270584,1.1569657449490514,0.5607205000262275,0.8808729509908354,0.48263497193884053,1.0017736502900754,1.4613885111160734,15.503193027616996,112.17096774193548,55.961306061725566,5.042555584556343,1.6180999233898476,1.2061014595546635,0.7142477913132657,0.6033014016085658,0.5463159832457235,DT,2,13
T077,6819.063629301836,49.395426135102525,200.28750309814382,88.66462462994106,7.320702746712284,4087.9847522267496,0.6403369311411446,0.622087952,0.7634130426819778,0.9614132046410326,0.9094656038297128,0.3257908585123606,1.030898178034528,1.2810087192114017,17.005134302145038,101.30088495575221,42.45216574,6.020191137375007,1.3292630165551698,1.951770579684035,0.6194752710530561,0.8322842660683868,1.5345598583176256,DT,2,14
T079,23237.562998027617,88.76492553042173,373.72814650485697,155.9432251349552,19.575055605190418,16496.390566669757,0.7104365110522141,0.5370723054583973,0.7345466247783408,0.4709598524912979,0.8797024616386206,0.4047903552166245,1.1349677083536835,2.9477794593908104,15.572498792947927,106.56508875739645,42.56057600359499,4.797637795992257,1.0456354462862363,1.368416624,0.5027878094019823,1.004992416708353,1.5649291936560057,DT,2,15
T082,17475.172136904803,65.97172248864092,327.72384796088255,185.40451322905048,25.885465341067793,13453.156868617385,1.127139255942171,5.781082408660237,0.8804999388413197,0.882349954,0.7062639355948228,0.2968673947375064,0.9967218845136875,2.4279735146978854,14.331468566187397,126.20357142857142,65.54814627,5.896809974602139,0.9237282965903355,3.336142580410228,3.201408543858846,1.2959292484766418,5.875679081779053,DT,2,16
T083,63214.633591691956,141.31210903726392,606.4401357431668,478.88279023146606,75.96709628876691,56820.74302,2.182843650902792,6.298786218858456,1.601033273,2.038115262672585,0.8622274924631567,0.3027695156095601,0.9763490489802685,1.7502371702291222,16.383135403588337,107.19756838905775,45.790696343216325,6.2567214752402815,0.8565207160749084,1.865761828862229,9.598740874075299,1.3283465723551147,2.825443372942214,DT,2,17
T084,28068.129389355727,78.71968210518975,310.2426076703488,191.1482613053115,31.62818386324111,18054.892562273177,1.0365189408217534,1.3295136497093372,1.1103393533658827,1.032958569746821,0.8659083605151053,0.2240994335723316,1.3300030581899152,0.925258148,16.726285576068076,95.56022408963585,31.55645874264251,3.5719876940031217,1.1278419518387561,1.4535921675942636,2.3586821330646357,0.9277691659187947,0.9392045348513477,DT,2,18
T085,9462.154907894752,46.035044104062074,200.1885912247039,133.20932677508452,13.617206206330392,7879.103408778312,1.5979777316656563,4.409637633929546,1.3310348585128693,2.1418670967181064,1.1133327733882463,0.3384036916529215,0.6309280236607988,1.4998783438385859,16.344646349881042,107.96381578947368,54.13299449265769,6.760036472616799,0.9686628747671739,2.793367891,11.282325971512515,1.2019828398032857,2.3291274197128033,DT,2,19
T091,37319.34706107659,104.83640116828794,553.8581141318987,430.2305533299376,42.54293700306544,42050.85420961311,0.9777933100391376,3.094368329489979,1.208128715488441,0.9339559661968818,1.1087002875545853,0.5737919144895577,1.0846112587495906,2.587284674473233,15.49348029,123.48757763975155,65.43071655889267,7.259699292287035,1.6449042042919308,5.520440059545766,6.2714392226651565,0.7670035878245438,2.7745691898366056,DT,2,20
T093,8308.122698275885,51.280806016703686,216.42121970463256,91.90323371064933,9.872058686776246,5605.674238430027,0.6012493787926704,0.762654258,0.7744622470093784,1.2133540749440102,0.8060447142654188,0.20039364222246236,1.0422438698163554,1.9923701416887363,15.433058096993703,105.08333333333333,35.61857816089915,3.8142785140239894,1.3331383442792963,1.814186099724134,2.4904298172513033,0.7833046636085627,1.0616694258615007,DT,2,21
T094,21110.592493306583,90.16933696287388,271.84902506128105,103.27547539706896,20.985841050513915,7222.784451302486,0.7770490515728674,2.2149275654377143,0.7805086093088988,0.6791122458081166,0.9081730391911085,0.18531297862881824,1.1038047379968279,2.0955995994805767,20.84668878755772,75.16064257028113,20.334767370196296,3.9811324338753993,1.049491832751011,3.0013357041792457,2.695414454017707,0.992412368,3.8915251019741888,DT,2,22
T096,26708.862224719087,102.43788838387195,343.8014600151032,208.18207090378786,36.29902064496804,16988.695123021786,1.1212627358554053,1.417015565943944,1.6275451256964986,0.8373260945541369,0.8378713718950245,0.23075267555948958,1.428743518555118,2.072925130542214,18.768609440312783,85.77078651685393,26.645084392788014,4.597971396,1.4675315233018962,1.678992333453743,0.7695063905237671,0.7050619524607803,0.8633688668076412,DT,2,23
T098,19269.904503634498,88.61037852363619,394.57475746214584,230.8954323,28.288202632667055,10756.452645828642,0.6875741303344427,1.1760251529753396,1.085107331866465,0.32790264689034737,0.9192388671268735,0.3473072944175291,1.1701950650400084,1.9416914252980038,16.209546820585533,109.98442367601245,51.28039433244676,6.492320391335231,1.7887816310915605,3.039254661315389,0.5977753555295584,0.6415758047767394,1.2500965966484854,DT,2,24
T099,10638.465264480841,42.709896006813416,200.1662513279597,130.31836949928862,11.74183848466052,14491.167975888513,0.5730758034216448,2.0362169939309287,0.8861892376468442,0.2640743858173043,0.940391637,0.43650591504401925,1.031630299641637,1.9630241453324206,16.399484720567365,113.12786885245902,55.327638264634416,7.806072180147424,1.9251786638219328,7.712312959717695,2.162368684663131,0.6388826800864971,1.9551777375898136,DT,2,25
T106,47078.41864141421,153.1649387138381,609.9074499115086,265.1397258163851,43.685925473976035,13260.714588505902,0.9465533885068883,0.7963724859792907,1.0827704787952601,0.790235671,0.6791716822865628,0.19702249663725918,0.97562501,0.9213126495772955,15.903920353017563,101.41515151515152,32.467274606599126,3.9673675175440093,1.1567218902544643,1.0536488146400969,0.3491323810716164,0.88077675,0.8494553274799405,DT,2,26
T112,45988.489980440056,159.9972833213271,571.4571566222646,303.9097097687546,51.804302611482704,24682.642311643882,2.023544189,5.1205628420828795,1.8918904788931807,1.6420764625395636,0.8965641738514702,0.2686062113701067,0.8692745172596099,1.7413584905643171,18.523209527045147,89.73349633251834,35.68894400240893,4.978546780019176,1.0018580267809318,1.5323311041822847,4.811728763333393,1.0701862591156868,1.766434880799401,DT,2,27
T114,9533.716891,49.60170038667467,191.7100463473553,103.68385578790978,15.791595157963815,7368.8922880354185,0.9086117724364473,2.7016959034927686,1.2329049048940162,0.5218146402036793,1.0980490971594214,0.39085233894819893,1.2909377161377003,2.851708536,18.488590837258347,98.42441860465117,50.71732833886333,7.261116012636487,1.5784583539392762,4.133930385373057,1.854102924615653,0.7571109123434705,2.1996703334844763,DT,2,28
T121,13206.016370967738,68.90903782118168,229.3084029974179,132.40514206523167,14.163028112842504,8441.397848,0.4935568214352969,0.7763779378415459,1.2440835174348135,0.3604019715485247,0.8628119490954879,0.1637781075778915,1.0712867735619747,0.604068772,20.84433753,83.69585253,46.223397650115245,6.075574794550233,2.778344390821463,1.905777876690272,0.5964484767926765,0.39882298689035767,0.646322097,DT,2,29
T122,21940.37830673757,80.99477122440793,340.1709130321322,224.07700685435927,32.23721399,16618.217106992215,1.1956194974052887,5.359996234258762,1.2446714930766818,0.9849831680996081,0.8094310994139813,0.2662537928693429,1.152683728263928,2.1966874450278344,16.06391748050412,103.24468085106383,40.758102618857656,4.612137918003412,1.1310208396009684,1.930521794946009,3.734822708264207,0.9585049946385237,2.0956862403078493,DT,2,30
T124,9467.911947444207,52.24548048108564,176.3017127890736,134.78037366560903,14.46523099,12648.39503306474,0.65729151,1.1063717641748503,1.0476098214817935,0.6865863694860518,0.8993740320475572,0.2155683620966511,1.1231093957070029,1.4612462514842874,21.460120273587542,81.56587473,41.003476865287915,6.955360468,1.6280428565580198,1.1251076878427029,1.6942900360908972,0.6034466687794448,0.6042935700923162,DT,2,31
T126,33090.943585931265,145.0559149736614,493.33361072176814,281.03763778808815,37.48687167151601,24627.985722262787,1.3181914649055535,7.485431180139684,1.1206063965252937,1.1093646347789805,0.8099805745775406,0.28204842588432555,0.9761378705534337,2.076355645387567,19.940889944506456,84.59472422,36.57186270964591,5.734949262334965,0.9520024450756798,2.2803077115832866,12.484047440609237,1.1695123164141499,3.169663746189227,DT,2,32
T128,13002.025288713909,57.962881960576375,222.68335513369084,107.58456617664069,9.63106135,6098.046632509873,1.1737446870839827,4.507587798528476,0.9078902007356862,0.8887307630986154,0.7799937198652223,0.2438312117086334,0.929769416,1.3840916463617334,17.48411725,97.66404199475066,48.490438874390264,5.188337220913834,0.8636878414584641,2.6347221208973575,4.019013188,1.308974501791148,7.092702774939655,DT,2,33
T130,6431.490618599733,45.29053823150829,211.9515283884066,118.93724074462435,12.667468570656276,7472.099184183492,1.0116680362146158,0.22845392887011842,1.0275749873223055,0.9514272917310088,0.8512770397665588,0.3247805397654805,1.1699974190215894,0.9633996984644103,15.710910581915687,115.38557993730407,53.258185222043075,6.904648355038282,1.1921741662478482,2.0001208407859834,0.3056170207150989,0.9636880284295997,1.843499534531536,DT,2,34
T132,10336.575634020637,77.29540450625419,285.73500963555165,150.49694291443154,20.68560424469857,6647.524233851064,0.7186083939632516,1.0474834533372295,1.542290679871526,0.4599085693721226,0.8413523680709039,0.26893511024129346,0.9973738852503861,1.0884693886686614,18.481067427623124,93.61855670103093,44.692943858837836,6.2956174435639145,2.3289130300373806,1.0335048876103035,0.43829826236408675,0.47562348874359484,0.732549716,DT,2,35
T138,70808.27483,207.54516997445256,880.1068460590475,620.4814141033594,83.84802211,57653.15953319086,0.8502486573588532,2.2221226763073463,0.910853104,0.8646530524712858,0.782724964,0.21455853913632306,1.1802934489111012,1.6905387393844689,16.668903449094415,104.01994301994301,45.48185839494561,5.684446967989625,1.224999160664996,2.0791779544118274,3.096779825567644,0.9176302471828621,1.5784012408602341,DT,2,36
T139,4042.9353333333306,41.53660088029979,200.31025216695556,113.8223445584738,7.7472413141749135,6281.384953158175,0.9707316600846584,2.121995813094479,1.1168388004991894,0.9948427657104009,1.0037756074661677,0.3567299685085336,1.1960923248406072,1.6640502811319375,15.187700847116062,118.50961538461539,56.030119625480445,6.459865471176215,1.3177015780927386,1.9287058125343814,4.220000409478063,0.8691118991014224,1.8246559826795692,DT,2,37
T141,17268.01373513509,78.63664040149371,307.2006968033737,192.58356109566728,24.798469054423656,11415.558869957202,0.9219700488034619,1.823816232046437,0.9518603827186096,0.6862181701259327,0.8743441644577008,0.23629682344830133,1.2013508946442846,1.6162144231436726,17.75687347278867,97.61081081,47.02276453725959,5.860519998359187,1.141721108960751,1.6430535366236316,1.8592033197919922,0.9709298157574019,1.5822839152506318,DT,2,38
T145,12999.031525974024,76.26860091288482,335.49403940283196,228.64706823616038,34.797751635645376,12710.342620335547,1.690215720576333,1.2041497514936206,1.6141818107878803,2.1272610758427617,1.015982753836613,0.40794918558691334,0.9644866393978174,0.6109175907285178,16.994971390769955,109.69155844155844,58.01431064258221,7.667264930901758,0.9534626451583158,1.5225525082087348,1.4165871350762573,1.2142976949250013,0.9093576618216076,DT,2,39
T151,12029.237363484068,69.89860447216655,272.7486852533006,186.12142851441502,23.069888925776706,12064.701239743492,1.3110131002517056,3.275671189890007,0.9587548988823539,0.929284843,0.9634765299551201,0.28824475118946796,1.223721405500326,1.2731177239592126,18.31573363806126,95.19095477386935,44.82836044291604,6.107209898,0.8502938385858553,2.6681243689897816,6.029083521680844,1.3598707824838479,5.708258936491558,DT,2,40
T152,14349.53139350525,57.82773004374318,244.68984520802616,78.04511957763926,8.636048903,4477.732528505377,1.1922729304783728,4.82061011,1.155094734,1.2287036381051368,0.7773021670614328,0.19061594716845215,1.1232615973646556,2.748076073739181,14.954071512951192,106.89684813753581,32.839344223627755,3.4777681731958325,1.0171600105808087,2.9211447230972793,2.705409873194286,1.041999093083778,3.8006036226315034,DT,2,41
T154,5487.408054569422,45.502159163169026,129.02449364507592,43.09706972723249,4.8936669089232625,1539.7241089445884,1.1021216744134836,2.5939868877316052,1.0475681646676132,0.9184285747108724,0.8942115055400104,0.21797853679909523,1.0295811507678292,2.6005153336787044,22.354904211765803,70.75936883629191,21.118429705545434,4.553135913,0.9983948219956806,2.157025425057262,2.1400994238979685,1.050881715390474,2.672843921838767,DT,2,42
T156,21203.37741465597,76.02612198977116,285.4375088614525,138.0259183761629,18.262578780829916,13144.490787680332,1.2624124829920158,2.277272491465466,1.3023800117716156,1.5333607321544431,0.7328372216041558,0.15883563057925015,1.0764613262029157,0.9813478205115983,17.092314186740573,93.67828418230563,31.609154679547437,3.931645764521653,1.0703229687901614,1.258859387906375,2.699155319032816,0.971598453,1.2021982114403857,DT,2,43
T157,19692.488745143724,87.48588128505257,305.68604173440553,124.89585062344544,19.770703963271085,6861.671748435998,0.8347777265817332,2.205234854352397,0.9078537539418549,0.6486451767669809,0.8490989406169566,0.16329033173183868,1.140208238,1.4581260505218245,18.75534973127123,89.36829836829837,39.367750496804135,4.900345110947578,1.1585743250271423,1.6710452648208929,1.6607940379577275,0.9424696478046354,2.1119810979592923,DT,2,44
T162,7328.550505003875,54.21552230939322,172.43087524316957,90.60722893288774,8.849333331,3586.6425211614483,1.163947854907161,4.208071059137313,1.2387992729224993,1.443654609452189,0.8968670576812451,0.2176430243580262,1.1457740608642881,1.6433060020546404,21.35949094312707,80.03233256,38.18872509,6.4680356278174465,1.1795294010009512,2.680995134003363,4.553964355840872,0.953363209,3.1215903302101413,DT,2,45
T166,10040.05741044774,53.81681858650558,201.43061673087186,94.29763281956146,9.886810774724994,7575.467122725025,0.610045838,0.22813666978423064,0.7912673024297601,0.44353262766782936,0.8473718838411117,0.2694402092808569,1.085624288622303,0.9105038797490096,17.69052260616723,92.77363184079601,34.468735345270844,4.962856014903567,1.1359052975750972,0.9501147111319345,0.2053346355241943,0.8884944789222283,0.42828759254988513,DT,2,46
T172,4556.742723419516,41.183521482685265,129.63858710536812,51.795243371123675,4.201767879747676,2244.4346803513154,0.6605146760222902,0.46595265516846845,0.8882944975938305,0.44070338621088373,0.8931439120216721,0.19894218204450095,1.1394807313308017,0.7125707777683872,20.791579841378194,78.30172413793103,28.792807600039616,4.985012982743002,1.247520696943359,0.8869879648828097,0.474424594,0.7397691960705693,0.5107077541556785,DT,2,47
T173,9128.045612926662,62.38584857900673,195.81790372076023,115.23867201019135,12.818752321714948,7996.243222437292,0.8983086697466073,1.3095920833260775,0.894015579,0.5965711857560729,0.8870594878380508,0.1986616934716984,0.9745073773918033,1.7067038050650283,22.137483088213077,77.64488017429194,35.981854343826114,6.823840063303597,1.1048007984709363,1.4653017100120098,1.4845567880503274,0.9891067538126362,1.5975535338665374,DT,2,48
T174,5640.520534359001,40.76990822066054,172.40669386322895,69.00636546713709,4.755152936164757,3256.477721752209,0.8478972425856183,1.494529191568847,1.0036333528708226,0.6892422257998058,0.6979227102691915,0.1923222415647178,1.2523410584003358,1.9453765258153186,15.59240319088361,105.43384615384615,38.28003538103265,4.505283059146939,1.2832004150821323,2.033750105300089,1.8388521212817246,0.8367765567765567,1.4696350301856087,DT,2,49
T175,14046.105377300608,57.190289765882106,269.51979720709465,187.61711477121435,25.569492704112548,16665.02434793533,1.867056276834291,5.620638166445616,1.3267366812386423,2.481673833833672,0.7248005325130974,0.22828240040185716,1.044504544841374,1.8222447292929191,14.919604006004276,114.6319018404908,48.73629400519796,4.947803099829948,0.8253363924211121,2.111586853149256,20.107558180549905,1.369884104212366,3.216032131893899,DT,2,50
T178,6229.8105918366855,53.35336964575017,234.78823237827194,223.55360036803742,33.03123614368556,17027.937882461203,0.6434664928969596,0.33179108792093087,0.7992849475087391,0.20675378595236996,0.9846838706500138,0.4538918249248229,1.2248215494544479,1.3620278392095864,17.174028112402777,107.75510204081633,51.70644118145566,8.503903175039875,1.3489812210423178,1.899392317363204,0.1889121944076175,0.8371650547011257,1.2592244342976173,DT,2,51
T003,85342.83288888866,152.70350477030487,1263.721719507161,418.29829989397996,20.397714071709558,19301.70199901695,3.1869898376497883,4.602458901923623,1.2246678650877711,2.1263009081634627,0.4104023070067327,0.085298562,0.49737387041682846,0.9911642226438628,7.958955608217532,206,64.06832290609768,3.7554392776134926,0.415195008,1.4036349207259413,1.9230982276787745,2.588752748978951,3.7586633070435407,PR,0,1
T005,54434.40874358976,89.41653829,490.82443583288745,231.10245043901182,29.732845007670132,42041.36439144923,2.7856020471987475,14.508209179399556,1.9695479664903512,2.673042331540404,0.4377336961149853,0.36961377688766583,0.7275942045649084,3.984633051787922,11.686736281157769,138.92307692307693,43.760966879426036,4.120744229380861,0.7483452231593066,2.3013236735402303,17.11989855,1.4307216984868891,3.5353831497410266,PR,0,2
T009,72031.2705,340.7497371747113,1397.7138939395732,788.3398916224398,90.70814629982927,31495.117928034797,2.1771199666645145,5.357621430456829,1.4596046506031872,1.0645434879843005,0.7810383243464325,0.2759489986996185,0.8263986088509537,3.4537972382780375,18.064069671919516,101.72222222222223,55.48567382667349,8.077496815439345,0.8320575980014111,4.351768715813488,1.6467872810573583,1.466945932335302,7.428356901290203,PR,0,3
T011,81719.27260000017,272.74540381263773,1839.6433485882894,932.6488668517824,95.19053949426868,48051.34105123075,5.226359887574154,6.2936681159418715,2.7569595373330884,3.056869979940292,1.237262422655089,0.41990665545841216,1.7748283988699354,2.0960101003118385,8.985242647099344,175.8,57.98873923056976,3.177070185180039,0.522484109,1.176876119,4.328049567666201,1.9795859062840537,2.223028271725673,PR,0,4
T016,19706.973967742026,94.64385771656505,368.4650129778732,165.5103114791976,22.256034376052273,7132.951519024093,1.233119156041912,2.868458146032543,1.1844858106537348,0.7699522523513279,0.8207458942957996,0.30251152170465934,1.035952339700017,2.062987909816935,17.64006662579607,98.51612903225806,44.19592824527947,7.283778383824927,1.0538992721743223,1.8308005816063007,1.7588960771104227,1.0384693854419333,1.575293511833055,PR,0,5
T019,34936.511888888665,94.93538385887723,697.9185933,102.6129054,14.462746222894964,3843.613967368877,2.171669404611824,2.674484850755076,1.1387825860253777,1.068967446,0.5215833333333333,0.13242410607768387,0.7304055033297921,1.4497747179167328,8.155101765144028,185,44.042706547168514,2.8724263228306435,0.5189550502131396,1.4121386434549708,0.7730742774260675,1.9137931034482758,3.288816554750439,PR,0,6
T046,60967.326571428486,165.34614190893132,973.6464350612649,549.9175718453328,25.562156245626397,19594.025445208208,0.9356156978838581,1.382406586352153,0.8771250978180369,0.5523590054862031,0.5324181728018813,0.16523110365602262,0.4636302778556651,1.182707948878813,9.928707965122884,154.85714285714286,76.33616362212088,4.721264659,0.8915835772273636,3.026574323786775,0.45716789730401963,1.133828792,3.7282468414515946,PR,0,7
T051,56543.728277777635,154.33651854246784,924.5609635401928,204.54631889799327,22.119282840975828,5559.553120871884,1.3758766531521363,1.348370724694549,1.1980974573783534,0.9527703210442933,0.5012180146045184,0.14133917812335817,0.7534353048641783,1.7251101135931124,10.46057369580805,145.33333333333334,31.92545027090456,2.1808427002564104,0.8782998716382733,1.4158911947972301,0.4123664437757089,1.1429359823399559,1.4027728800661854,PR,0,8
T061,54915.77453333316,119.0789156861667,839.6749841466619,196.09926411369054,21.46244863800199,11163.457177291331,2.3458063886796965,1.3860410228067859,1.2918887114407804,2.0352145441520677,0.5035267655425538,0.217738686,0.769482727,1.1890965189758707,8.873008877869802,180.6,56.02008568361887,3.3994689618929206,0.5573085748143558,0.9944500108875589,1.423321455101166,1.8778773754033704,1.6730204780979168,PR,0,9
T063,72516.85473015874,217.3719062712816,878.8120491335305,306.62654406518914,75.11182382137413,16918.89174691716,2.719676611652459,1.9227745811523598,2.709691661020531,4.870665077958141,0.631320166,0.4364729069190363,0.8140968555997808,1.4397540274092657,15.999535834632189,106.23809523809524,43.79825720954628,7.780855205380793,1.0550163047299226,2.4786709725303617,1.3226540018961674,1.0554972745037539,0.8387612181439175,PR,0,10
T064,19520.601181818256,84.68868039953256,408.7625305113757,136.0421244718679,11.579803616391589,8186.227818779271,1.069332338,1.0273697468694003,0.9190159271067272,0.7952174526829598,0.7533106177932218,0.35556802529354714,0.8570143634013025,2.606168223,13.247517815865251,126.36363636363636,44.861258836313304,7.405759411140258,0.8546157420538585,2.028802768598685,0.9128648867117481,1.2419030600848782,1.3987927739889707,PR,0,11
T065,68314.50936,194.20947006196585,1094.4596225045436,429.4001773406621,28.47885249677607,21144.095710610523,2.3812119035275656,4.319316573669505,1.4251230437416826,1.6398972673979515,0.5544896896890611,0.3787393449072655,0.7527059101066278,3.511634205619253,13.102854966232998,146,66.61050355366989,8.647918317251543,0.7367105731225114,3.5093830797341097,2.232240439219823,1.7082683307332294,5.043293932442415,PR,0,12
T068,85371.34308333369,249.28676416907706,1416.7533345682673,417.06123670318965,48.00127306631947,26975.915589273573,2.1367327287132536,1.0116843681904668,2.827731324838116,1.0938755439455778,0.9034999289489565,0.3109013846282692,1.0275062037515517,0.9413899489310255,11.451367213219779,139.5,44.11884203174673,4.963983948437624,1.1952025868098288,1.1873083370172304,0.5616234390674582,0.7502881290818287,0.43070525440651697,PR,0,13
T077,13986.399083333183,59.803932215969326,302.63064892468805,80.77218348,13.44609855359793,4919.596163,0.9675370555033087,0.566713077,0.9242779226657064,1.9719289179697077,0.5144678306629192,0.22753865986332672,0.5831599865398365,0.8946813565413165,12.507710207357574,128.2,36.22427842079726,4.791492039072658,0.9777068681152844,1.5534213086015074,0.745494015,1.0532863849765257,1.309434338406808,PR,0,14
T078,4022.813060605983,38.76801382804763,235.50414999073737,109.48777162273547,5.01286096,2344.878613171539,1.2935865369150643,1.3174625290682176,0.7827369088689871,3.8535968956733435,1.2505988101903265,0.2695883888154751,1.2669032032838696,0.8849421399314517,10.595746172530692,155.0909090909091,68.84654060914139,6.406543826850031,0.5533043573699522,0.5901981588607733,4.8086582551650725,1.660629236919868,1.7481651022740237,PR,0,15
T079,35407.97776666684,212.70610756280198,904.4334090654814,386.07397368122224,40.17098118669929,18341.069676844138,1.7192778270105222,1.3296482674576962,1.7601834558679041,0.7176198290423136,0.8926721020483435,0.29304092199025433,1.1517007785630988,2.1339935585706864,16.155481788388776,104.2,42.15019441,6.198804935543455,1.084780588804477,1.7680675539361406,0.5590111489928934,0.9826877736611653,1.5498396860641377,PR,0,16
